City_ID,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,itoman,JP,75,1572505884,69,26.12,127.67,78.8,16.11
1,busselton,AU,51,1572505884,36,-33.64,115.35,60.01,29.15
2,victoria,BN,75,1572505884,74,5.28,115.24,86.0,3.36
3,pisco,PE,64,1572505885,82,-13.71,-76.2,61.0,1.05
4,vaini,IN,75,1572505885,69,15.34,74.49,78.8,13.87
5,qaanaaq,GL,100,1572505885,68,77.48,-69.36,9.72,10.4
6,georgetown,GY,20,1572505885,100,6.8,-58.16,75.2,2.24
7,rio gallegos,AR,65,1572505885,54,-51.62,-69.22,53.6,13.87
8,bambous virieux,MU,40,1572505885,61,-20.34,57.76,79.0,9.17
9,chuy,UY,53,1572505885,84,-33.69,-53.46,57.83,11.59
10,bredasdorp,ZA,17,1572505885,59,-34.53,20.04,63.0,9.17
11,port macquarie,AU,38,1572505886,53,-31.43,152.91,77.0,18.34
12,beringovskiy,RU,62,1572505886,57,63.05,179.32,28.9,2.59
13,karachi,PK,20,1572505865,41,24.87,67.03,91.4,3.0
14,pundaguitan,PH,72,1572505886,72,6.37,126.17,82.08,3.18
15,rikitea,PF,0,1572505886,74,-23.12,-134.97,71.8,10.11
16,mataura,NZ,100,1572505886,84,-46.19,168.86,50.0,18.99
17,tuktoyaktuk,CA,92,1572505886,90,69.44,-133.03,29.37,22.28
18,nome,US,90,1572505886,93,30.04,-94.42,48.2,18.34
19,sao filipe,CV,0,1572505887,58,14.9,-24.5,79.48,8.01
20,opuwo,NA,97,1572505887,33,-18.06,13.84,75.97,3.38
21,beaverlodge,CA,40,1572505887,74,55.21,-119.43,35.6,19.46
22,puerto baquerizo moreno,EC,88,1572505887,89,-0.9,-89.6,69.94,12.24
23,ushuaia,AR,92,1572505613,43,-54.81,-68.31,50.0,16.11
24,wiarton,CA,90,1572505887,100,44.74,-81.13,43.0,10.29
25,hoi an,VN,90,1572505887,88,15.88,108.33,78.8,2.24
26,praia,BR,100,1572505888,77,-20.25,-43.81,69.8,1.16
27,qaqortoq,GL,100,1572505888,65,60.72,-46.03,41.0,18.34
28,khatanga,RU,100,1572505888,95,71.98,102.47,2.95,5.23
29,peruibe,BR,65,1572505888,81,-24.32,-47.0,74.3,8.57
30,jamestown,AU,3,1572505888,19,-33.21,138.6,86.85,15.79
